District,Year,Total_Households,Urban_Households,Rural_Households
Abidjan,2025,1038462,1038462,0
Abidjan,2030,1064423,1064423,0
Abidjan,2035,1091034,1091034,0
Abidjan,2040,1118309,1118309,0
Abidjan,2045,1146267,1146267,0
Abidjan,2050,1174924,1174924,0
Agnéby-Tiassa,2025,160000,112000,48000
Agnéby-Tiassa,2030,164000,114799,49201
Agnéby-Tiassa,2035,168100,117669,50431
Agnéby-Tiassa,2040,172302,120611,51691
Agnéby-Tiassa,2045,176610,123626,52984
Agnéby-Tiassa,2050,181025,126717,54308
Bagoué,2025,103483,81008,22475
Bagoué,2030,116590,91268,25322
Bagoué,2035,132357,103611,28746
Bagoué,2040,185472,145190,40282
Bagoué,2045,191755,150108,41647
Bagoué,2050,163170,127731,35439
Bounkani,2025,89692,70212,19480
Bounkani,2030,104247,81606,22641
Bounkani,2035,119944,93893,26051
Bounkani,2040,128257,100401,27856
Bounkani,2045,210717,164952,45765
Bounkani,2050,213114,166828,46286
Bélier,2025,80189,62773,17416
Bélier,2030,118941,93108,25833
Bélier,2035,162082,126880,35202
Bélier,2040,131038,102578,28460
Bélier,2045,146280,114510,31770
Bélier,2050,223102,174647,48455
Béré,2025,80000,24000,56000
Béré,2030,82000,24600,57400
Béré,2035,84050,25215,58835
Béré,2040,86151,25845,60306
Béré,2045,88305,26491,61814
Béré,2050,90512,27153,63359
Cavally,2025,110000,55000,55000
Cavally,2030,112749,56374,56375
Cavally,2035,115568,57784,57784
Cavally,2040,118457,59228,59229
Cavally,2045,121419,60709,60710
Cavally,2050,124454,62227,62227
Folon,2025,95795,74989,20806
Folon,2030,97032,75958,21074
Folon,2035,165421,129493,35928
Folon,2040,146054,114333,31721
Folon,2045,155277,121553,33724
Folon,2050,193700,151631,42069
Gbêkê,2025,180000,125999,54001
Gbêkê,2030,184499,129149,55350
Gbêkê,2035,189112,132378,56734
Gbêkê,2040,193840,135688,58152
Gbêkê,2045,198686,139080,59606
Gbêkê,2050,203653,142557,61096
Gbôklé,2025,98364,77000,21364
Gbôklé,2030,121232,94902,26330
Gbôklé,2035,164572,128829,35743
Gbôklé,2040,148600,116326,32274
Gbôklé,2045,168202,131670,36532
Gbôklé,2050,224140,175459,48681
Gontougo,2025,113763,89055,24708
Gontougo,2030,135127,105779,29348
Gontougo,2035,128147,100315,27832
Gontougo,2040,174603,136681,37922
Gontougo,2045,190531,149150,41381
Gontougo,2050,162032,126841,35191
Guémon,2025,130000,65000,65000
Guémon,2030,133250,66625,66625
Guémon,2035,136581,68290,68291
Guémon,2040,139995,69997,69998
Guémon,2045,143495,71747,71748
Guémon,2050,147083,73541,73542
Gôh,2025,140000,84000,56000
Gôh,2030,143500,86100,57400
Gôh,2035,147087,88252,58835
Gôh,2040,150764,90458,60306
Gôh,2045,154533,92719,61814
Gôh,2050,158397,95038,63359
Hambol,2025,100000,40000,60000
Hambol,2030,102499,40999,61500
Hambol,2035,105062,42024,63038
Hambol,2040,107689,43075,64614
